( 1 : 5 ) : [<3:1:6>, <4:6:8>, <9:7:18>, <10:12:20>, <15:13:30>]
( 2 : 5 ) : [<3:1:6>, <4:6:8>, <9:7:18>, <10:12:20>, <14:14:28>]
( 3 : 5 ) : [<3:1:6>, <4:6:8>, <9:7:18>, <10:12:20>, <13:15:26>]
( 4 : 5 ) : [<3:1:6>, <4:6:8>, <9:7:18>, <12:10:24>, <15:13:30>]
( 5 : 5 ) : [<3:1:6>, <4:6:8>, <9:7:18>, <12:10:24>, <14:14:28>]
( 6 : 5 ) : [<3:1:6>, <4:6:8>, <9:7:18>, <12:10:24>, <13:15:26>]
( 7 : 5 ) : [<3:1:6>, <4:6:8>, <9:7:18>, <11:11:22>, <15:13:30>]
( 8 : 5 ) : [<3:1:6>, <4:6:8>, <9:7:18>, <11:11:22>, <14:14:28>]
( 9 : 5 ) : [<3:1:6>, <4:6:8>, <9:7:18>, <11:11:22>, <13:15:26>]
( 10 : 5 ) : [<3:1:6>, <4:6:8>, <7:9:14>, <10:12:20>, <15:13:30>]
( 11 : 5 ) : [<3:1:6>, <4:6:8>, <7:9:14>, <10:12:20>, <14:14:28>]
( 12 : 5 ) : [<3:1:6>, <4:6:8>, <7:9:14>, <10:12:20>, <13:15:26>]
( 13 : 5 ) : [<3:1:6>, <4:6:8>, <7:9:14>, <12:10:24>, <15:13:30>]
( 14 : 5 ) : [<3:1:6>, <4:6:8>, <7:9:14>, <12:10:24>, <14:14:28>]
( 15 : 5 ) : [<3:1:6>, <4:6:8>, <7:9:14>, <12:10:24>, <13:15:26>]
( 16 : 5 ) : [<3:1:6>, <4:6:8>, <7:9:14>, <11:11:22>, <15:13:30>]
( 17 : 5 ) : [<3:1:6>, <4:6:8>, <7:9:14>, <11:11:22>, <14:14:28>]
( 18 : 5 ) : [<3:1:6>, <4:6:8>, <7:9:14>, <11:11:22>, <13:15:26>]
( 19 : 5 ) : [<3:1:6>, <4:6:8>, <8:8:16>, <10:12:20>, <15:13:30>]
